,Model #,Hidden Size,Num Layers,Dropout Rate,Optimizer,Learning Rate,Num Epochs,Best Epoch Test Loss,Best Simulation Accuracy,Worst Simulation Accuracy,Time per Epoch,Total Time
0,1,1,1,0.0,Adam,0.001,1,91726.41793724798,91726.41793724798,91726.41793724798,7.612013339996338,7.612013339996338
1,2,1,1,0.0,Adam,0.01,1,89326.4154170867,89326.4154170867,89326.4154170867,1.9240162372589111,1.9240162372589111
2,3,1,1,0.0,Adam,0.001,1,5.560133349510931,5.560133349510931,5.560133349510931,2.0608556270599365,2.0608556270599365
3,4,1,1,0.0,Adam,0.01,1,298.3356729322864,298.3356729322864,298.3356729322864,2.0437304973602295,2.0437304973602295
4,5,1,1,0.0,SGD,0.001,1,80553.39527154739,80553.39527154739,80553.39527154739,1.425342321395874,1.425342321395874
5,6,1,1,0.0,SGD,0.01,1,2.2871667345339852,2.2871667345339852,2.2871667345339852,1.4426887035369873,1.4426887035369873
6,7,1,1,0.0,SGD,0.001,1,301.70963533463015,301.70963533463015,301.70963533463015,1.4738194942474365,1.4738194942474365
7,8,1,1,0.0,SGD,0.01,1,297.5161233717395,297.5161233717395,297.5161233717395,1.5319819450378418,1.5319819450378418
8,9,1,1,0.1,Adam,0.001,1,92005.64426348286,92005.64426348286,92005.64426348286,2.1327738761901855,2.1327738761901855
9,10,1,1,0.1,Adam,0.01,1,89264.58656754032,89264.58656754032,89264.58656754032,2.009936571121216,2.009936571121216
10,11,1,1,0.1,Adam,0.001,1,302.044809895177,302.044809895177,302.044809895177,2.0930449962615967,2.0930449962615967
11,12,1,1,0.1,Adam,0.01,1,297.55253084244265,297.55253084244265,297.55253084244265,2.1028239727020264,2.1028239727020264
12,13,1,1,0.1,SGD,0.001,1,12559.135208622101,12559.135208622101,12559.135208622101,1.5381333827972412,1.5381333827972412
13,14,1,1,0.1,SGD,0.01,1,2.286998684564981,2.286998684564981,2.286998684564981,1.6056344509124756,1.6056344509124756
14,15,1,1,0.1,SGD,0.001,1,302.8394265943958,302.8394265943958,302.8394265943958,1.6546189785003662,1.6546189785003662
15,16,1,1,0.1,SGD,0.01,1,297.3359475904895,297.3359475904895,297.3359475904895,1.5799641609191895,1.5799641609191895
16,17,1,2,0.0,Adam,0.001,1,91465.83387411795,91465.83387411795,91465.83387411795,2.4433839321136475,2.4433839321136475
17,18,1,2,0.0,Adam,0.01,1,88568.7380607359,88568.7380607359,88568.7380607359,2.410630941390991,2.410630941390991
18,19,1,2,0.0,Adam,0.001,1,302.6933694654895,302.6933694654895,302.6933694654895,2.494307279586792,2.494307279586792
19,20,1,2,0.0,Adam,0.01,1,2.311974679270098,2.311974679270098,2.311974679270098,2.425675392150879,2.425675392150879
20,21,1,2,0.0,SGD,0.001,1,12632.561013498615,12632.561013498615,12632.561013498615,1.6976513862609863,1.6976513862609863
21,22,1,2,0.0,SGD,0.01,1,2.287160911914637,2.287160911914637,2.287160911914637,1.691366195678711,1.691366195678711
22,23,1,2,0.0,SGD,0.001,1,302.541880207677,302.541880207677,302.541880207677,1.7692492008209229,1.7692492008209229
23,24,1,2,0.0,SGD,0.01,1,7.105611247401083,7.105611247401083,7.105611247401083,1.8003103733062744,1.8003103733062744
24,25,1,2,0.1,Adam,0.001,1,3581.871261873553,3581.871261873553,3581.871261873553,2.4476704597473145,2.4476704597473145
25,26,1,2,0.1,Adam,0.01,1,88645.55267137097,88645.55267137097,88645.55267137097,2.3939993381500244,2.3939993381500244
26,27,1,2,0.1,Adam,0.001,1,302.8977151686145,302.8977151686145,302.8977151686145,2.4674465656280518,2.4674465656280518
27,28,1,2,0.1,Adam,0.01,1,297.50675447525515,297.50675447525515,297.50675447525515,2.483747959136963,2.483747959136963
28,29,1,2,0.1,SGD,0.001,1,12516.858634702621,12516.858634702621,12516.858634702621,1.8115057945251465,1.8115057945251465
29,30,1,2,0.1,SGD,0.01,1,2.287155077702576,2.287155077702576,2.287155077702576,1.7271449565887451,1.7271449565887451
30,31,1,2,0.1,SGD,0.001,1,302.5413308912708,302.5413308912708,302.5413308912708,1.8524317741394043,1.8524317741394043
31,32,1,2,0.1,SGD,0.01,1,297.99759920181765,297.99759920181765,297.99759920181765,1.8339080810546875,1.8339080810546875
32,33,2,1,0.0,Adam,0.001,1,71.35447407442881,71.35447407442881,71.35447407442881,2.026959180831909,2.026959180831909
33,34,2,1,0.0,Adam,0.01,1,88803.8103263609,88803.8103263609,88803.8103263609,2.080155611038208,2.080155611038208
34,35,2,1,0.0,Adam,0.001,1,302.7524514967395,302.7524514967395,302.7524514967395,2.1226303577423096,2.1226303577423096
35,36,2,1,0.0,Adam,0.01,1,234.80253084244268,234.80253084244268,234.80253084244268,2.092287540435791,2.092287540435791
36,37,2,1,0.0,SGD,0.001,1,4.980978357857244,4.980978357857244,4.980978357857244,1.5189683437347412,1.5189683437347412
37,38,2,1,0.0,SGD,0.01,1,2.2871667345339852,2.2871667345339852,2.2871667345339852,1.5979740619659424,1.5979740619659424
38,39,2,1,0.0,SGD,0.001,1,220.56947323583788,220.56947323583788,220.56947323583788,1.6887083053588867,1.6887083053588867
39,40,2,1,0.0,SGD,0.01,1,297.776499348302,297.776499348302,297.776499348302,1.5020339488983154,1.5020339488983154
40,41,2,1,0.1,Adam,0.001,1,90924.50154359879,90924.50154359879,90924.50154359879,2.0495996475219727,2.0495996475219727
41,42,2,1,0.1,Adam,0.01,1,849.303390664439,849.303390664439,849.303390664439,2.000037908554077,2.000037908554077
42,43,2,1,0.1,Adam,0.001,1,18.01671028137207,18.01671028137207,18.01671028137207,2.0593583583831787,2.0593583583831787
43,44,2,1,0.1,Adam,0.01,1,38.14230285152312,38.14230285152312,38.14230285152312,2.2018911838531494,2.2018911838531494
44,45,2,1,0.1,SGD,0.001,1,809.0601849709788,809.0601849709788,809.0601849709788,1.42848539352417,1.42848539352417
45,46,2,1,0.1,SGD,0.01,1,103800.54104712702,103800.54104712702,103800.54104712702,1.478330135345459,1.478330135345459
46,47,2,1,0.1,SGD,0.001,1,244.39425299244542,244.39425299244542,244.39425299244542,1.6110165119171143,1.6110165119171143
