,Model #,Hidden Size,Num Layers,Dropout Rate,Optimizer,Learning Rate,Num Epochs,Best Epoch Test Loss,Best Simulation Accuracy,Worst Simulation Accuracy,Training Time,Single Prediction Time,Total Time
0,1,4,1,0.0,Adam,0.01,4,1.9711866239525169,1.5080754810497314,2.8559135258115167,,0.0030823647260665894,30.823647260665894
1,2,4,1,0.0,Adam,0.01,4,1.4916126989549205,1.3235010946950605,1.6176424334126134,,0.003032872366905212,30.328723669052124
2,3,4,1,0.0,SGD,0.01,4,2.413939919392578,0.7641513787056019,4.57188386050421,,0.0019472173690795898,19.4721736907959
3,4,4,1,0.0,SGD,0.01,4,2.049226760864258,1.3012910658313381,2.9184768430648313,,0.0020425534009933474,20.42553400993347
4,5,4,2,0.0,Adam,0.01,4,0.07947054848134998,0.05597608948817417,0.09985535611556243,,0.0037441988468170165,37.441988468170166
5,6,4,2,0.0,Adam,0.01,4,1.3403697475310294,0.745545171922253,2.0352196231965096,,0.003760142803192139,37.60142803192139
6,7,4,2,0.0,SGD,0.01,4,2.413939919392578,0.7641513787056019,4.57188386050421,,0.0024141092538833616,24.141092538833618
7,8,4,2,0.0,SGD,0.01,4,1.1099326718238092,0.9805623331377583,1.323794211110761,,0.0024745770454406737,24.74577045440674
8,9,4,3,0.0,Adam,0.01,4,0.24012947239867982,0.2313319353007471,0.2551877838540672,,0.0044887850761413575,44.887850761413574
9,10,4,3,0.0,Adam,0.01,4,1.7574460429529992,1.710436482583323,1.8249988555908203,,0.004518738222122193,45.187382221221924
10,11,4,3,0.0,SGD,0.01,4,2.413939919392578,0.7641513787056019,4.57188386050421,,0.0027536714553833006,27.536714553833008
11,12,4,3,0.0,SGD,0.01,4,1.6519266313122163,0.9395665814799647,2.4764707011561238,,0.0028281248092651367,28.281248092651367
12,13,8,1,0.0,Adam,0.01,4,0.06148280920986567,0.05579842816692807,0.07331025379432005,,0.0029161068439483642,29.161068439483643
13,14,8,1,0.0,Adam,0.01,4,1.1279011511033583,1.0580824575116556,1.1756866824242376,,0.003139732551574707,31.39732551574707
14,15,8,1,0.0,SGD,0.01,4,,,,,0.0019181165218353272,19.18116521835327
15,16,8,1,0.0,SGD,0.01,4,204.6818103298064,203.98921548166584,205.4249133448447,,0.0019117375373840333,19.117375373840332
16,17,8,2,0.0,Adam,0.01,4,0.1965290406955436,0.18755916102165957,0.20845607324736193,,0.0035710920810699464,35.71092081069946
17,18,8,2,0.0,Adam,0.01,4,0.7804681716426727,0.7068406997188446,0.8303841621645035,,0.003636371922492981,36.36371922492981
18,19,8,2,0.0,SGD,0.01,4,,,,,0.00222573127746582,22.257312774658203
19,20,8,2,0.0,SGD,0.01,4,204.90083498800954,204.20824013986896,205.64393800304782,,0.002300348734855652,23.00348734855652
20,21,8,3,0.0,Adam,0.01,4,0.10137860768985366,0.09373495928500028,0.11512342706931034,,0.004167478466033936,41.674784660339355
21,22,8,3,0.0,Adam,0.01,4,0.5501286414361769,0.4745367726972026,0.6063200427639869,,0.004275923204421997,42.75923204421997
22,23,8,3,0.0,SGD,0.01,4,,,,,0.0026556678056716917,26.55667805671692
23,24,8,3,0.0,SGD,0.01,4,3.756516081287015,3.011549057499055,4.447246920677923,,0.0027387643575668336,27.387643575668335
24,25,16,1,0.0,Adam,0.01,4,0.0650125861002673,0.06019107887010661,0.0733781035786735,,0.002815339922904968,28.153399229049683
25,26,16,1,0.0,Adam,0.01,4,1.9343007733744961,1.744221656553207,2.0790023188437186,,0.0028473129987716676,28.473129987716675
26,27,16,1,0.0,SGD,0.01,4,,,,,0.0018627314329147339,18.62731432914734
27,28,16,1,0.0,SGD,0.01,4,2.197534782655777,1.4497438246204006,3.0678317162298385,,0.0019604903697967527,19.60490369796753
28,29,16,2,0.0,Adam,0.01,4,0.19342965890818664,0.18448841112155107,0.20103956094094283,,0.003438400602340698,34.38400602340698
29,30,16,2,0.0,Adam,0.01,4,2.693051553541614,2.4394364510813067,2.8625541194792716,,0.0035517065048217772,35.51706504821777
30,31,16,2,0.0,SGD,0.01,4,,,,,0.0022209763288497924,22.209763288497925
31,32,16,2,0.0,SGD,0.01,4,2.818899056219286,2.0849491242439515,3.667607953471522,,0.002295794725418091,22.957947254180908
32,33,16,3,0.0,Adam,0.01,4,0.29537454777727684,0.20887005692460545,0.3590254040280988,,0.004159177541732788,41.59177541732788
33,34,16,3,0.0,Adam,0.01,4,1.750823765416299,1.4573754341371599,1.904287584366337,,0.004282788276672363,42.82788276672363
34,35,16,3,0.0,SGD,0.01,4,,,,,0.002645342803001404,26.453428030014038
35,36,16,3,0.0,SGD,0.01,4,1.224386473624937,1.0563531075754473,1.3853906200778099,,0.0027234297752380373,27.23429775238037
